queue_index,person_id,sex,age,age_bucket,demographic_target,background,skin_tone,weathering_note,habitus_note,habitus_group,aesthetic_note,attractiveness_note,mix_key,front_done,side_done,back_done
1,person_027,male,37,30-45,white,Caucasus-region ancestry with fair-to-olive complexion,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Caucasus-region ancestry with fair-to-olive complexion | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure | mid",true,true,true
2,person_038,male,44,30-45,white,Baltic European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Baltic European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | lean",true,true,true
3,person_078,male,67,46-80,white,Irish and British Isles ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Irish and British Isles ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | heavy",true,true,true
4,person_021,male,39,30-45,white,Ashkenazi Jewish European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Ashkenazi Jewish European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | heavy",true,false,false
5,person_050,male,40,30-45,white,Irish and British Isles ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Irish and British Isles ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | lean",true,false,false
6,person_011,male,27,18-29 young men,white,mixed Northern and Southern European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"mixed Northern and Southern European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | lean",true,false,false
7,person_001,male,21,18-29 young men,black,East African ancestry,dark brown skin,"noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,black | lean,true,false,false
8,person_079,male,74,46-80,white,Scandinavian ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Scandinavian ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | heavy",true,false,false
9,person_099,female,74,46-80,white,Southern European ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Southern European ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | mid",true,false,false
10,person_085,female,46,46-80,white,Southern European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Southern European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | lean",true,false,false
11,person_058,male,32,30-45,white,Eastern European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Eastern European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | heavy",true,false,false
12,person_065,male,46,46-80,white,Scandinavian ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Scandinavian ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | mid",true,false,false
13,person_075,male,46,46-80,white,Northwestern European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Northwestern European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | mid",true,false,false
14,person_042,male,32,30-45,white,Northern European ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Northern European ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | heavy",true,false,false
15,person_044,male,42,30-45,white,Eastern European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Eastern European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | heavy",true,false,false
16,person_010,male,24,18-29 young men,white,Baltic European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Baltic European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | heavy",true,false,false
17,person_073,male,67,46-80,white,Western European ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Western European ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | lean",true,false,false
18,person_014,male,24,18-29 young men,white,Northern European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Northern European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | lean",true,false,false
19,person_096,female,53,46-80,white,Central Mediterranean ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Central Mediterranean ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | lean",false,false,false
20,person_004,male,18,18-29 young men,hispanic_latino,Southern Cone Latino ancestry,light olive skin,"noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance",hispanic_latino | mid,true,false,false
21,person_055,male,33,30-45,white,Caucasus-region ancestry with fair-to-olive complexion,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Caucasus-region ancestry with fair-to-olive complexion | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | heavy",false,false,false
22,person_068,male,67,46-80,white,Central Mediterranean ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Central Mediterranean ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | heavy",false,false,false
23,person_022,male,44,30-45,white,Irish and British Isles ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Irish and British Isles ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | heavy",false,false,false
24,person_061,male,53,46-80,white,Northwestern European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Northwestern European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | lean",false,false,false
25,person_076,male,53,46-80,white,Central European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Central European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | mid",false,false,false
26,person_020,male,18,18-29 young men,white,Central European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Central European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | heavy",false,false,false
27,person_046,male,36,30-45,white,Balkan European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Balkan European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | heavy",false,false,false
28,person_052,male,34,30-45,white,Baltic European ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Baltic European ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | mid",false,false,false
29,person_086,female,53,46-80,white,Eastern European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Eastern European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | lean",false,false,false
30,person_024,male,38,30-45,white,Baltic European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Baltic European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | lean",false,false,false
31,person_100,female,46,46-80,white,Eastern European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Eastern European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | mid",false,false,false
32,person_008,male,18,18-29 young men,hispanic_latino,Andean Latino ancestry,light olive skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,hispanic_latino | heavy,true,false,false
33,person_095,female,46,46-80,white,mixed Northern and Southern European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"mixed Northern and Southern European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | lean",false,false,false
